Est.,Prov.,T. max.,T. min.,T. media,Racha,V. max.,Pr. 00 - 24h,Pr. 00 - 06h,Pr. 06 - 12h,Pr. 12 - 18h,Pr. 18 - 24h,Fecha,T. max.(hora),T. min.(hora),Racha(hora),V. max.(hora)
Estaca de Bares,A Coruña,15.6,9.5,12.6,61,50,2.4,2.4,0.0,0.0,0.0,31 oct 2018,13:10,08:10,04:00,02:10
As Pontes,A Coruña,13.4,5.5,9.4, , ,7.2,4.8,0.0,0.0,2.4,31 oct 2018,12:30,08:20,,
A Coruña,A Coruña,14.7,8.4,11.5,40,26,5.2,4.8,0.0,0.2,0.2,31 oct 2018,12:30,08:30,02:10,02:10
A Coruña Aeropuerto,A Coruña,14.5,6.3,10.4,35,18,2.5,2.3,0.0,0.0,0.2,31 oct 2018,12:30,08:10,00:30,00:10
"Carballo, Depuradora",A Coruña,13.2,4.4,8.8, , ,2.0,0.2,0.0,0.2,1.6,31 oct 2018,15:40,07:50,,
Cabo Vilan,A Coruña,12.4,9.0,10.7,32,23,2.6,0.0,0.0,0.7,1.9,31 oct 2018,11:10,06:00,08:20,08:10
Vimianzo,A Coruña,10.9,4.6,7.7, , ,6.6,0.4,0.0,1.0,5.2,31 oct 2018,15:40,07:20,,
Fisterra,A Coruña,10.7,9.4,10.0,42,25,2.6,0.0,2.0,0.6,0.0,31 oct 2018,00:00,05:20,09:00,09:00
Mazaricos,A Coruña,10.0,6.6,8.3, , ,,,,,,31 oct 2018,15:20,04:00,,
Sobrado,A Coruña,10.7,2.4,6.5, , ,4.0,3.8,0.0,0.0,0.2,31 oct 2018,14:20,08:40,,
Santiago de Compostela Aeropuerto,A Coruña,10.8,4.4,7.6,18,12,0.4,0.3,0.0,0.0,0.1,31 oct 2018,15:50,08:20,00:20,05:00
Noia,A Coruña, , ,, , ,,,,,,31 oct 2018,,,,
Boiro,A Coruña,12.1,6.2,9.2, , ,0.4,0.0,0.0,0.4,0.0,31 oct 2018,16:40,05:40,,
Padrón,A Coruña,12.6,5.1,8.9,17,12,0.7,0.0,0.0,0.2,0.5,31 oct 2018,16:00,08:00,09:30,09:30
Santiago de Compostela,A Coruña,11.9,5.0,8.4,10,4,0.5,0.0,0.0,0.1,0.4,31 oct 2018,16:00,08:00,09:40,09:40
