Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Fecha,Temperatura máxima (ºC)(hora),Temperatura mínima (ºC)(hora),Racha (km/h)(hora),Velocidad máxima (km/h)(hora)
Estaca de Bares,A Coruña,14.6 ,10.6 ,12.6,86 ,69 ,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,22:20,00:00,19:30,23:00
As Pontes,A Coruña,13.4 ,7.9 ,10.6,,,6.6,0.4,0.0,0.6,5.6, 01 noviembre 2018,23:30,08:20,,
A Coruña,A Coruña,15.3 ,10.0 ,12.7,50 ,28 ,1.0,0.0,0.0,0.4,0.6, 01 noviembre 2018,21:30,05:00,22:10,21:40
A Coruña Aeropuerto,A Coruña,15.5 ,7.0 ,11.3,,,,0.0,0.0,,0.4, 01 noviembre 2018,23:10,06:10,,
"Carballo, Depuradora",A Coruña,14.9 ,5.8 ,10.3,,,3.2,0.0,0.0,0.0,3.2, 01 noviembre 2018,23:00,06:10,,
Cabo Vilan,A Coruña,14.3 ,9.6 ,12.0,50 ,36 ,4.1,0.0,0.0,1.8,2.3, 01 noviembre 2018,23:30,06:40,16:00,16:10
Vimianzo,A Coruña,14.1 ,5.5 ,9.8,,,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,21:50,04:40,,
Fisterra,A Coruña,14.5 ,9.2 ,11.8,55 ,46 ,5.0,0.0,0.0,3.6,1.4, 01 noviembre 2018,22:00,01:20,19:50,20:00
Mazaricos,A Coruña,13.8 ,6.4 ,10.1,,,,,,,, 01 noviembre 2018,22:00,03:50,,
Sobrado,A Coruña,12.1 ,4.2 ,8.2,,,6.8,0.0,0.0,1.6,5.2, 01 noviembre 2018,23:59,07:00,,
Santiago de Compostela Aeropuerto,A Coruña,13.5 ,4.8 ,9.2,35 ,22 ,5.6,0.0,0.0,1.2,4.4, 01 noviembre 2018,23:59,03:50,20:10,20:10
Noia,A Coruña,14.5 ,7.2 ,10.8,27 ,9 ,,,,,, 01 noviembre 2018,20:40,04:40,21:00,12:30
Boiro,A Coruña,15.7 ,6.8 ,11.3,,,24.2,0.0,0.0,11.0,13.2, 01 noviembre 2018,23:20,04:40,,
Padrón,A Coruña,14.5 ,7.6 ,11.0,32 ,12 ,7.2,0.2,0.0,1.0,6.0, 01 noviembre 2018,23:50,07:20,15:30,15:40
Santiago de Compostela,A Coruña,,,,28 ,10 ,4.3,0.0,0.0,1.2,3.1, 01 noviembre 2018,,,20:10,15:00
"Rois, Casas do Porto",A Coruña,14.8 ,6.3 ,10.6,,,1.4,0.2,0.0,0.0,1.2, 01 noviembre 2018,23:40,06:40,,
Ossa de Montiel,Albacete,,,,,,,,,,, 01 noviembre 2018,,,,
Villarrobledo,Albacete,15.6 ,2.2 ,8.9,27 ,18 ,0.2,0.0,0.0,0.2,0.0, 01 noviembre 2018,13:40,03:10,15:30,15:10
Munera,Albacete,11.8 ,-0.6 ,5.6,26 ,12 ,0.2,0.0,0.2,0.0,0.0, 01 noviembre 2018,15:20,03:00,15:20,12:00
"Yeste, Embalse Fuensanta",Albacete,15.8 ,1.9 ,8.9,,,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,16:30,06:50,,
Nerpio,Albacete,7.2 ,-1.5 ,2.8,,,0.4,0.2,0.2,0.0,0.0, 01 noviembre 2018,15:20,05:40,,
Yeste,Albacete,12.6 ,2.9 ,7.8,,,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,15:20,04:20,,
Hellín,Albacete,14.3 ,4.2 ,9.3,37 ,21 ,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,15:10,03:10,12:40,12:40
Tobarra,Albacete,15.0 ,3.0 ,9.0,,,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,15:00,02:30,,
Albacete Base Aérea,Albacete,14.3 ,-0.2 ,7.1,,,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,16:20,04:50,,
Chinchilla,Albacete,10.4 ,0.2 ,5.3,28 ,18 ,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,18:30,07:20,14:40,15:30
Albacete,Albacete,14.7 ,2.2 ,8.4,29 ,9 ,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,16:00,04:30,17:10,17:20
Alcalá del Júcar,Albacete,15.8 ,2.1 ,9.0,20 ,10 ,0.2,0.0,0.2,0.0,0.0, 01 noviembre 2018,16:00,05:10,11:00,15:20
Almansa,Albacete,13.7 ,2.1 ,7.9,21 ,9 ,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,14:10,08:10,14:00,06:20
Orihuela,Alacant/Alicante,18.5 ,8.5 ,13.5,33 ,16 ,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,16:10,02:30,16:40,10:30
Pinoso,Alacant/Alicante,12.8 ,0.9 ,6.9,30 ,15 ,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,15:40,01:10,12:40,12:40
Rojales,Alacant/Alicante,19.7 ,8.9 ,14.3,25 ,14 ,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,16:00,06:40,13:30,15:00
Villena,Alacant/Alicante,15.6 ,0.6 ,8.1,28 ,16 ,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,14:20,01:50,13:50,13:50
Novelda,Alacant/Alicante,18.1 ,7.7 ,12.9,,,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,13:30,04:40,,
Elche/Elx,Alacant/Alicante,21.3 ,9.2 ,15.2,,,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,15:30,01:20,,
Alicante-Elche Aeropuerto,Alacant/Alicante,20.2 ,9.7 ,15.0,30 ,19 ,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,14:20,02:10,14:40,16:20
Alicante/Alacant,Alacant/Alicante,20.8 ,7.6 ,14.2,23 ,12 ,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,13:50,02:20,10:20,06:50
Benidorm,Alacant/Alicante,19.5 ,7.9 ,13.7,31 ,17 ,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,13:00,03:00,13:10,13:30
Jávea/ Xàbia,Alacant/Alicante,19.5 ,6.0 ,12.8,40 ,24 ,0.6,0.0,0.0,0.6,0.0, 01 noviembre 2018,13:40,02:00,12:20,12:20
Pego,Alacant/Alicante,18.5 ,9.4 ,13.9,23 ,15 ,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,16:50,00:00,08:50,08:20
Alcoy/Alcoi,Alacant/Alicante,14.3 ,4.7 ,9.5,25 ,13 ,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,16:50,04:00,13:20,06:40
Vélez Blanco - Topares,Almería,11.7 ,2.1 ,6.9,,,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,15:30,07:50,,
El Ejido,Almería,22.0 ,10.7 ,16.3,,,0.4,0.2,0.2,0.0,0.0, 01 noviembre 2018,13:20,06:50,,
Roquetas de Mar,Almería,,,,,,,,,,, 01 noviembre 2018,,,,
Abla,Almería,15.9 ,6.8 ,11.3,29 ,12 ,0.2,0.2,0.0,0.0,0.0, 01 noviembre 2018,14:10,03:40,10:40,09:00
Láujar de Andarax,Almería,11.8 ,2.0 ,6.9,51 ,33 ,0.2,0.0,0.2,0.0,0.0, 01 noviembre 2018,15:00,00:00,04:10,04:10
Almería Aeropuerto,Almería,19.4 ,10.4 ,14.9,32 ,19 ,1.7,1.7,0.0,0.0,0.0, 01 noviembre 2018,11:40,07:50,10:20,13:20
Cabo de Gata,Almería,20.5 ,12.0 ,16.3,46 ,30 ,1.8,1.8,0.0,0.0,0.0, 01 noviembre 2018,12:30,00:50,04:10,06:50
"Garrucha, Puerto",Almería,20.1 ,11.4 ,15.8,39 ,33 ,0.2,0.2,0.0,0.0,0.0, 01 noviembre 2018,14:10,08:00,14:40,14:50
Albox,Almería,19.5 ,7.7 ,13.6,43 ,31 ,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,15:20,05:20,09:10,09:10
Huercal Overa,Almería,22.0 ,7.1 ,14.5,33 ,20 ,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,14:30,07:30,10:30,11:20
Aramaio,Araba/Álava,10.6 ,6.4 ,8.5,,,13.2,9.4,1.0,0.2,2.6, 01 noviembre 2018,14:40,01:50,,
Amurrio,Araba/Álava,14.3 ,7.9 ,11.1,12 ,8 ,2.4,0.8,0.0,0.0,1.6, 01 noviembre 2018,13:40,03:40,21:30,03:20
Lalastra,Araba/Álava,9.2 ,3.0 ,6.1,35 ,20 ,0.6,0.0,0.0,0.0,0.6, 01 noviembre 2018,14:20,04:00,07:40,09:00
Agurain/Salvatierra,Araba/Álava,10.5 ,5.3 ,7.9,21 ,11 ,7.2,6.2,0.2,0.0,0.8, 01 noviembre 2018,14:30,02:40,13:10,13:00
Vitoria Gasteiz Aeropuerto,Araba/Álava,12.9 ,7.0 ,9.9,22 ,15 ,3.4,2.5,0.0,0.0,0.9, 01 noviembre 2018,13:30,03:50,21:10,05:10
Labastida,Araba/Álava,12.2 ,4.6 ,8.4,18 ,10 ,6.0,5.2,0.0,0.0,0.8, 01 noviembre 2018,13:30,07:50,22:00,10:00
Leza,Araba/Álava,13.0 ,5.7 ,9.3,,,3.8,3.2,0.0,0.0,0.6, 01 noviembre 2018,13:40,08:00,,
Campezo/Kanpezu,Araba/Álava,12.0 ,5.9 ,9.0,,,,,,,, 01 noviembre 2018,14:50,20:50,,
Cabrales,Asturias,12.8 ,7.2 ,10.0,24 ,16 ,5.4,0.0,0.0,0.0,5.4, 01 noviembre 2018,14:10,01:30,05:00,05:00
Llanes,Asturias,15.5 ,11.8 ,13.7,34 ,16 ,2.0,0.0,0.0,0.0,2.0, 01 noviembre 2018,14:10,04:10,05:00,06:10
"Amieva, Panizales",Asturias,13.7 ,7.1 ,10.4,40 ,21 ,3.8,0.0,0.2,0.0,3.6, 01 noviembre 2018,14:30,03:00,23:00,23:00
Piloña,Asturias,14.2 ,6.6 ,10.4,17 ,7 ,2.6,0.0,0.0,0.0,2.6, 01 noviembre 2018,14:10,00:20,13:30,13:30
Colunga,Asturias,,,,,,,0.0,0.0,,, 01 noviembre 2018,,,,
"Gijón, Campus",Asturias,15.2 ,9.7 ,12.4,26 ,12 ,1.8,0.0,0.2,0.0,1.6, 01 noviembre 2018,15:30,01:00,17:50,17:40
Cabo Peñas,Asturias,,,,,,,,,,, 01 noviembre 2018,,,,
Asturias Aeropuerto,Asturias,14.3 ,9.2 ,11.8,39 ,23 ,1.1,0.2,0.0,0.0,0.9, 01 noviembre 2018,23:59,01:40,21:30,21:50
Puerto de Pajares,Asturias,6.1 ,0.1 ,3.1,32 ,21 ,1.1,0.2,0.0,0.1,0.8, 01 noviembre 2018,22:30,00:10,19:50,19:40
Pola de Lena,Asturias,12.3 ,5.2 ,8.8,26 ,16 ,1.6,0.2,0.0,0.0,1.4, 01 noviembre 2018,16:30,00:00,23:10,23:30
Aller,Asturias,10.1 ,1.6 ,5.9,17 ,8 ,6.0,0.4,0.0,0.0,5.6, 01 noviembre 2018,11:50,00:00,22:00,18:50
Mieres,Asturias,13.7 ,7.8 ,10.8,18 ,8 ,2.2,0.0,0.0,0.0,2.2, 01 noviembre 2018,15:10,00:00,19:50,21:40
Oviedo,Asturias,12.6 ,7.5 ,10.1,21 ,12 ,2.0,0.0,0.0,0.2,1.8, 01 noviembre 2018,13:40,02:40,23:59,04:10
"Tineo, Soto de la Barca",Asturias,12.8 ,5.7 ,9.3,21 ,12 ,1.6,0.0,0.0,0.2,1.4, 01 noviembre 2018,14:30,06:20,10:20,10:20
Pola de Somiedo,Asturias,12.5 ,2.0 ,7.3,30 ,12 ,2.6,0.0,0.0,0.0,2.6, 01 noviembre 2018,23:59,06:50,23:40,23:40
Salas,Asturias,13.1 ,7.3 ,10.2,35 ,17 ,1.8,0.0,0.0,0.0,1.8, 01 noviembre 2018,23:20,06:50,20:00,11:20
Cabo Busto,Asturias,15.9 ,11.0 ,13.4,77 ,51 ,0.2,0.2,0.0,0.0,0.0, 01 noviembre 2018,21:10,00:00,21:30,22:40
Degaña,Asturias,5.4 ,-0.2 ,2.6,10 ,4 ,8.2,0.0,0.0,1.4,6.8, 01 noviembre 2018,14:10,00:00,22:20,10:20
"Ibias, San Antolin",Asturias,,,,,,,,,,, 01 noviembre 2018,,,,
"Villayón, Oneta",Asturias,11.5 ,7.1 ,9.3,45 ,19 ,2.0,0.0,0.0,0.2,1.8, 01 noviembre 2018,23:00,05:40,19:30,20:40
Castropol,Asturias,14.2 ,8.8 ,11.5,73 ,24 ,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,23:59,05:40,18:10,20:20
"Taramundi, Ouria",Asturias,13.4 ,6.9 ,10.1,67 ,43 ,0.4,0.2,0.0,0.0,0.2, 01 noviembre 2018,23:50,05:20,20:30,21:30
Puerto de Leitariegos,Asturias,6.8 ,0.2 ,3.5,,,6.8,0.6,1.2,2.4,2.6, 01 noviembre 2018,21:40,00:00,,
Muñotello,Ávila,11.0 ,2.0 ,6.5,36 ,23 ,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,14:40,07:30,23:30,16:40
Ávila,Ávila,11.4 ,2.5 ,6.9,27 ,18 ,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,15:30,07:50,18:20,17:10
Gotarrendura,Ávila,11.7 ,2.8 ,7.2,31 ,22 ,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,15:10,08:00,23:59,18:00
Arevalo,Ávila,12.7 ,2.7 ,7.7,29 ,15 ,0.0,0.0,0.0,0.0,0.0, 01 noviembre 2018,15:20,08:10,23:40,23:30
Rivilla de Barajas,Ávila,11.4 ,2.3 ,6.8,35 ,22 ,0.4,0.0,0.2,0.0,0.2, 01 noviembre 2018,15:20,08:00,23:30,17:20
Navarredonda de Gredos,Ávila,,,,20 ,7 ,,,,,, 01 noviembre 2018,,,13:50,19:20
Barco de Avila,Ávila,11.9 ,-0.3 ,5.8,30 ,18 ,,,,,, 01 noviembre 2018,14:50,08:20,14:50,17:20
