Est.,Prov.,T. max.,T. min.,T. media,Racha,V. max.,Pr. 00 - 24h,Pr. 00 - 06h,Pr. 06 - 12h,Pr. 12 - 18h,Pr. 18 - 24h,Fecha,T. max.(hora),T. min.(hora),Racha(hora),V. max.(hora)
Estaca de Bares,A Coruña,12.7,9.0,10.8,100,63,3.4,0.6,1.8,1.0,0.0,30 oct 2018,16:30,00:00,02:10,08:00
As Pontes,A Coruña,10.1,6.0,8.1, , ,17.4,6.6,6.0,3.2,1.6,30 oct 2018,12:30,00:10,,
A Coruña,A Coruña,13.3,9.6,11.5,50,32,11.6,4.8,2.8,0.4,3.6,30 oct 2018,15:00,00:20,12:30,05:20
A Coruña Aeropuerto,A Coruña,13.4,8.4,10.9,41,23,14.8,5.6,3.4,0.6,5.2,30 oct 2018,15:10,00:20,23:59,00:10
"Carballo, Depuradora",A Coruña,13.3,8.5,10.9, , ,24.2,8.0,10.2,1.0,5.0,30 oct 2018,16:00,08:20,,
Cabo Vilan,A Coruña,14.3,8.7,11.5,80,36,7.4,3.2,4.2,0.0,0.0,30 oct 2018,16:20,08:20,20:20,06:10
Vimianzo,A Coruña,11.0,7.1,9.0, , ,20.0,6.2,10.4,0.0,3.4,30 oct 2018,16:30,08:40,,
Fisterra,A Coruña,11.8,8.0,9.9,68,40,3.0,1.0,1.8,0.0,0.2,30 oct 2018,16:40,08:40,20:30,20:30
Mazaricos,A Coruña,10.4,6.9,8.6, , ,,,,,,30 oct 2018,16:20,08:50,,
Sobrado,A Coruña,8.3,5.6,7.0, , ,14.4,6.8,4.4,1.4,1.8,30 oct 2018,15:30,00:00,,
Santiago de Compostela Aeropuerto,A Coruña,9.4,6.9,8.1,32,18,10.2,5.3,2.0,0.9,2.0,30 oct 2018,16:50,00:40,00:10,01:20
Noia,A Coruña,11.4,8.4,9.9,26,11,,,,,,30 oct 2018,17:10,08:40,00:50,00:20
Boiro,A Coruña,12.0,8.5,10.3, , ,20.8,18.2,0.6,1.8,0.2,30 oct 2018,15:40,20:00,,
Padrón,A Coruña,11.2,8.4,9.8,40,13,26.4,16.4,3.2,5.3,1.5,30 oct 2018,16:30,00:00,01:10,01:10
Santiago de Compostela,A Coruña,10.2,7.9,9.0,15,4,,,2.3,2.1,2.5,30 oct 2018,11:20,00:10,00:20,11:10
"Rois, Casas do Porto",A Coruña,11.3,7.9,9.6, , ,25.8,15.6,3.2,5.8,1.2,30 oct 2018,17:00,06:20,,
Ossa de Montiel,Albacete,9.9,2.9,6.4,50,21,,,,,,30 oct 2018,13:50,03:30,23:20,14:00
Villarrobledo,Albacete,11.0,4.3,7.7,42,22,4.2,0.0,0.8,2.4,1.0,30 oct 2018,14:40,04:30,23:50,02:10
Munera,Albacete,9.6,2.7,6.2,30,13,1.4,0.0,0.0,1.0,0.4,30 oct 2018,13:00,01:20,04:40,07:30
"Yeste, Embalse Fuensanta",Albacete,11.1,7.7,9.4, , ,1.6,0.0,0.0,0.0,1.6,30 oct 2018,15:30,07:50,,
Nerpio,Albacete,5.7,0.9,3.3, , ,4.6,0.0,0.2,0.4,4.0,30 oct 2018,12:10,00:10,,
Yeste,Albacete,9.1,5.4,7.3, , ,2.0,0.0,0.0,0.0,2.0,30 oct 2018,15:00,07:30,,
Hellín,Albacete,9.5,6.0,7.8,24,13,2.7,0.0,0.9,0.0,1.8,30 oct 2018,14:50,06:50,18:40,00:10
Tobarra,Albacete,9.7,5.2,7.4, , ,2.0,0.0,0.4,0.2,1.4,30 oct 2018,14:50,01:20,,
Albacete Base Aérea,Albacete,9.3,3.0,6.2, , ,7.0,0.0,2.8,0.4,3.8,30 oct 2018,15:50,05:30,,
Chinchilla,Albacete,5.7,1.1,3.4,40,26,6.3,0.0,1.7,2.4,2.2,30 oct 2018,20:30,08:00,00:30,22:50
Albacete,Albacete,9.5,4.7,7.1,51,17,5.5,0.0,2.9,0.4,2.2,30 oct 2018,16:40,05:20,15:00,21:00
Alcalá del Júcar,Albacete,9.1,3.6,6.4,40,21,7.6,0.0,1.2,2.0,4.4,30 oct 2018,17:00,03:00,13:30,13:30
Almansa,Albacete,8.9,4.0,6.4,30,13,6.6,0.0,1.6,1.2,3.8,30 oct 2018,17:30,06:00,04:10,02:50
Orihuela,Alacant/Alicante,12.4,7.0,9.7,18,10,9.2,0.0,0.4,3.4,5.4,30 oct 2018,20:40,05:20,14:40,16:00
Pinoso,Alacant/Alicante,8.5,0.6,4.6,32,17,15.2,0.0,2.6,5.2,7.4,30 oct 2018,16:00,05:10,17:40,17:40
Rojales,Alacant/Alicante,13.1,8.3,10.7,17,10,4.4,0.0,0.0,2.8,1.6,30 oct 2018,16:10,05:40,02:00,02:10
Villena,Alacant/Alicante,10.1,2.8,6.5,31,21,8.4,0.0,0.2,2.2,6.0,30 oct 2018,18:30,03:40,17:20,17:40
Novelda,Alacant/Alicante,11.8,6.7,9.3, , ,12.0,0.0,0.0,4.8,7.2,30 oct 2018,18:10,07:10,,
Elche/Elx,Alacant/Alicante,14.8,6.2,10.5, , ,7.4,0.0,0.2,4.6,2.6,30 oct 2018,11:00,06:40,,
Alicante-Elche Aeropuerto,Alacant/Alicante,15.3,6.6,11.0,32,22,6.7,0.0,0.0,4.0,2.7,30 oct 2018,11:00,07:20,21:30,01:10
Alicante/Alacant,Alacant/Alicante,14.9,7.2,11.0,23,11,10.2,0.0,0.0,3.4,6.8,30 oct 2018,11:20,07:00,00:10,00:10
Benidorm,Alacant/Alicante,18.1,8.7,13.4,42,18,25.2,0.0,0.0,5.2,20.0,30 oct 2018,11:30,07:00,22:40,22:40
Jávea/ Xàbia,Alacant/Alicante,17.4,6.7,12.0,49,24,12.4,0.0,0.0,1.6,10.8,30 oct 2018,12:30,06:00,23:30,23:30
Pego,Alacant/Alicante,17.8,10.6,14.2,54,30,5.6,0.0,0.0,1.0,4.6,30 oct 2018,11:40,07:40,01:50,01:50
Alcoy/Alcoi,Alacant/Alicante,12.1,7.8,10.0,34,19,5.4,0.0,0.0,1.0,4.4,30 oct 2018,10:50,05:10,01:50,00:40
Vélez Blanco - Topares,Almería,8.1,1.6,4.9, , ,3.4,0.0,0.6,0.2,2.6,30 oct 2018,15:20,04:30,,
El Ejido,Almería,15.0,11.3,13.2, , ,12.4,0.0,4.6,4.4,3.4,30 oct 2018,15:30,00:30,,
Roquetas de Mar,Almería, , ,, , ,,,,,,30 oct 2018,,,,
Abla,Almería,11.7,5.4,8.5,36,16,4.3,0.0,0.0,0.1,4.2,30 oct 2018,15:40,01:00,12:40,12:40
Láujar de Andarax,Almería,3.5,-0.3,1.6,53,36,30.4,0.0,6.0,14.8,9.6,30 oct 2018,12:40,01:00,22:30,13:40
Almería Aeropuerto,Almería,16.0,9.2,12.6,50,30,8.5,0.0,0.8,1.5,6.2,30 oct 2018,12:30,03:50,23:20,23:20
Cabo de Gata,Almería,15.8,13.5,14.7,62,40,6.6,0.0,0.8,0.6,5.2,30 oct 2018,07:20,23:20,23:10,01:20
"Garrucha, Puerto",Almería,17.3,11.6,14.4,46,32,0.0,0.0,0.0,0.0,0.0,30 oct 2018,13:40,03:50,12:20,13:50
Albox,Almería,12.4,8.7,10.5,54,36,2.4,0.0,0.0,0.0,2.4,30 oct 2018,15:30,06:00,01:40,01:40
Huercal Overa,Almería,12.9,9.1,11.0,42,24,0.8,0.0,0.0,0.1,0.7,30 oct 2018,16:20,07:20,01:50,01:40
Aramaio,Araba/Álava,8.3,2.3,5.3, , ,0.0,0.0,0.0,0.0,0.0,30 oct 2018,12:20,00:00,,
Amurrio,Araba/Álava,13.2,2.0,7.6,34,22,0.8,0.0,0.0,0.0,0.8,30 oct 2018,11:50,01:20,11:10,13:20
Lalastra,Araba/Álava,6.2,-0.2,3.0,55,25,0.0,0.0,0.0,0.0,0.0,30 oct 2018,13:00,00:50,07:30,08:20
Agurain/Salvatierra,Araba/Álava,8.0,0.0,4.0,60,36,0.8,0.0,0.2,0.0,0.6,30 oct 2018,13:10,01:30,17:50,11:50
Vitoria Gasteiz Aeropuerto,Araba/Álava,9.7,-1.5,4.1,35,24,0.0,0.0,0.0,0.0,0.0,30 oct 2018,13:10,02:30,19:40,19:50
Labastida,Araba/Álava,8.5,1.6,5.1,48,21,0.2,0.0,0.0,0.0,0.2,30 oct 2018,12:40,07:50,20:40,20:40
Leza,Araba/Álava,8.5,1.4,4.9, , ,1.0,0.0,0.0,0.4,0.6,30 oct 2018,14:40,05:30,,
Campezo/Kanpezu,Araba/Álava,8.5,-1.0,3.8, , ,,,,,,30 oct 2018,12:40,03:40,,
Cabrales,Asturias,14.5,3.1,8.8,25,18,1.4,0.8,0.6,0.0,0.0,30 oct 2018,13:40,00:20,06:30,06:40
Llanes,Asturias,16.4,6.9,11.6,26,12,0.2,0.2,0.0,0.0,0.0,30 oct 2018,15:00,03:20,08:10,04:40
"Amieva, Panizales",Asturias,14.4,6.7,10.5,39,20,0.2,0.2,0.0,0.0,0.0,30 oct 2018,13:10,00:00,07:10,08:50
Piloña,Asturias,14.5,4.7,9.6,15,7,1.8,1.8,0.0,0.0,0.0,30 oct 2018,13:20,00:00,00:50,01:50
Colunga,Asturias,15.0,6.5,10.8,19,11,2.0,2.0,0.0,0.0,0.0,30 oct 2018,12:10,00:00,07:50,02:10
"Gijón, Campus",Asturias,16.5,5.9,11.2,23,13,3.2,3.2,0.0,0.0,0.0,30 oct 2018,15:00,00:00,14:20,16:10
Cabo Peñas,Asturias, , ,, , ,,,,,,30 oct 2018,,,,
